C/C++ Syntax Analyzer with AST
==============================

Token: #include <stdio.h>   Type: PREPROCESSOR   
Token: int                  Type: KEYWORD        
Token: main                 Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: int                  Type: KEYWORD        
Token: i                    Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "Test 1: break in for loop\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: for                  Type: KEYWORD        
Token: (                    Type: LPAREN         
Token: i                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 0                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: i                    Type: IDENTIFIER     
Token: <                    Type: RELATIONAL_OP  
Token: 10                   Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: i                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: i                    Type: IDENTIFIER     
Token: +                    Type: ARITHMETIC_OP  
Token: 1                    Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: if                   Type: KEYWORD        
Token: (                    Type: LPAREN         
Token: i                    Type: IDENTIFIER     
Token: ==                   Type: RELATIONAL_OP  
Token: 5                    Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: break                Type: KEYWORD        
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "%d "                Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: i                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\n"                 Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\nTest 2: continue in for loop\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: for                  Type: KEYWORD        
Token: (                    Type: LPAREN         
Token: i                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 0                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: i                    Type: IDENTIFIER     
Token: <                    Type: RELATIONAL_OP  
Token: 10                   Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: i                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: i                    Type: IDENTIFIER     
Token: +                    Type: ARITHMETIC_OP  
Token: 1                    Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: if                   Type: KEYWORD        
Token: (                    Type: LPAREN         
Token: i                    Type: IDENTIFIER     
Token: ==                   Type: RELATIONAL_OP  
Token: 3                    Type: INTEGER_CONSTANT
Token: ||                   Type: LOGICAL_OP     
Token: i                    Type: IDENTIFIER     
Token: ==                   Type: RELATIONAL_OP  
Token: 7                    Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: continue             Type: KEYWORD        
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "%d "                Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: i                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\n"                 Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\nTest 3: break in while loop\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: i                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 0                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: while                Type: KEYWORD        
Token: (                    Type: LPAREN         
Token: i                    Type: IDENTIFIER     
Token: <                    Type: RELATIONAL_OP  
Token: 10                   Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: if                   Type: KEYWORD        
Token: (                    Type: LPAREN         
Token: i                    Type: IDENTIFIER     
Token: ==                   Type: RELATIONAL_OP  
Token: 6                    Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: break                Type: KEYWORD        
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "%d "                Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: i                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: i                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: i                    Type: IDENTIFIER     
Token: +                    Type: ARITHMETIC_OP  
Token: 1                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\n"                 Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\nTest 4: continue in while loop\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: i                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 0                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: while                Type: KEYWORD        
Token: (                    Type: LPAREN         
Token: i                    Type: IDENTIFIER     
Token: <                    Type: RELATIONAL_OP  
Token: 10                   Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: i                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: i                    Type: IDENTIFIER     
Token: +                    Type: ARITHMETIC_OP  
Token: 1                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: if                   Type: KEYWORD        
Token: (                    Type: LPAREN         
Token: i                    Type: IDENTIFIER     
Token: ==                   Type: RELATIONAL_OP  
Token: 4                    Type: INTEGER_CONSTANT
Token: ||                   Type: LOGICAL_OP     
Token: i                    Type: IDENTIFIER     
Token: ==                   Type: RELATIONAL_OP  
Token: 8                    Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: continue             Type: KEYWORD        
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "%d "                Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: i                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\n"                 Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\nTest 5: break in do-while\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: i                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 0                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: do                   Type: KEYWORD        
Token: {                    Type: LBRACE         
Token: if                   Type: KEYWORD        
Token: (                    Type: LPAREN         
Token: i                    Type: IDENTIFIER     
Token: ==                   Type: RELATIONAL_OP  
Token: 4                    Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: break                Type: KEYWORD        
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "%d "                Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: i                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: i                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: i                    Type: IDENTIFIER     
Token: +                    Type: ARITHMETIC_OP  
Token: 1                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: while                Type: KEYWORD        
Token: (                    Type: LPAREN         
Token: i                    Type: IDENTIFIER     
Token: <                    Type: RELATIONAL_OP  
Token: 10                   Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\n"                 Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\nTest 6: continue in do-while\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: i                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 0                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: do                   Type: KEYWORD        
Token: {                    Type: LBRACE         
Token: i                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: i                    Type: IDENTIFIER     
Token: +                    Type: ARITHMETIC_OP  
Token: 1                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: if                   Type: KEYWORD        
Token: (                    Type: LPAREN         
Token: i                    Type: IDENTIFIER     
Token: ==                   Type: RELATIONAL_OP  
Token: 2                    Type: INTEGER_CONSTANT
Token: ||                   Type: LOGICAL_OP     
Token: i                    Type: IDENTIFIER     
Token: ==                   Type: RELATIONAL_OP  
Token: 6                    Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: continue             Type: KEYWORD        
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "%d "                Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: i                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: while                Type: KEYWORD        
Token: (                    Type: LPAREN         
Token: i                    Type: IDENTIFIER     
Token: <                    Type: RELATIONAL_OP  
Token: 8                    Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\n"                 Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\nTest 7: nested loops with break\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: j                    Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: for                  Type: KEYWORD        
Token: (                    Type: LPAREN         
Token: i                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 0                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: i                    Type: IDENTIFIER     
Token: <                    Type: RELATIONAL_OP  
Token: 3                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: i                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: i                    Type: IDENTIFIER     
Token: +                    Type: ARITHMETIC_OP  
Token: 1                    Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: for                  Type: KEYWORD        
Token: (                    Type: LPAREN         
Token: j                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 0                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: j                    Type: IDENTIFIER     
Token: <                    Type: RELATIONAL_OP  
Token: 5                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: j                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: j                    Type: IDENTIFIER     
Token: +                    Type: ARITHMETIC_OP  
Token: 1                    Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: if                   Type: KEYWORD        
Token: (                    Type: LPAREN         
Token: j                    Type: IDENTIFIER     
Token: ==                   Type: RELATIONAL_OP  
Token: 3                    Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: break                Type: KEYWORD        
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "(%d,%d) "           Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: i                    Type: IDENTIFIER     
Token: ,                    Type: COMMA          
Token: j                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\n"                 Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\nTest 8: nested loops with continue\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: for                  Type: KEYWORD        
Token: (                    Type: LPAREN         
Token: i                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 0                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: i                    Type: IDENTIFIER     
Token: <                    Type: RELATIONAL_OP  
Token: 3                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: i                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: i                    Type: IDENTIFIER     
Token: +                    Type: ARITHMETIC_OP  
Token: 1                    Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: for                  Type: KEYWORD        
Token: (                    Type: LPAREN         
Token: j                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 0                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: j                    Type: IDENTIFIER     
Token: <                    Type: RELATIONAL_OP  
Token: 5                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: j                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: j                    Type: IDENTIFIER     
Token: +                    Type: ARITHMETIC_OP  
Token: 1                    Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: if                   Type: KEYWORD        
Token: (                    Type: LPAREN         
Token: j                    Type: IDENTIFIER     
Token: ==                   Type: RELATIONAL_OP  
Token: 2                    Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: continue             Type: KEYWORD        
