C/C++ Syntax Analyzer with AST
==============================

Token: #include <stdio.h>   Type: PREPROCESSOR   
Token: int                  Type: KEYWORD        
Token: main                 Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: int                  Type: KEYWORD        
Token: x                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 42                   Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: p                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: &                    Type: BITWISE_OP     
Token: x                    Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: pp                   Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: &                    Type: BITWISE_OP     
Token: p                    Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: ppp                  Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: &                    Type: BITWISE_OP     
Token: pp                   Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "Test 1: Single pointer\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "x = %d\n"           Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: x                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "*p = %d\n"          Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: p                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\n"                 Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "Test 2: Double pointer\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "**pp = %d\n"        Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: pp                   Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\n"                 Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "Test 3: Triple pointer\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "***ppp = %d\n"      Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: ppp                  Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\n"                 Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "Test 4: Modify through double pointer\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: pp                   Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 100                  Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "After **pp = 100:\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "x = %d\n"           Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: x                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "*p = %d\n"          Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: p                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "**pp = %d\n"        Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: pp                   Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\n"                 Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "Test 5: Modify through triple pointer\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: ppp                  Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 200                  Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "After ***ppp = 200:\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "x = %d\n"           Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: x                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "*p = %d\n"          Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: p                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "**pp = %d\n"        Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: pp                   Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "***ppp = %d\n"      Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: ppp                  Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\n"                 Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "Test 6: Multiple variables\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: a                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 10                   Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: b                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 20                   Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: c                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 30                   Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: p1                   Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: &                    Type: BITWISE_OP     
Token: a                    Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: p2                   Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: &                    Type: BITWISE_OP     
Token: b                    Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: p3                   Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: &                    Type: BITWISE_OP     
Token: c                    Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: pp1                  Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: &                    Type: BITWISE_OP     
Token: p1                   Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "**pp1 = %d (points to a)\n" Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: pp1                  Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: pp1                  Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: &                    Type: BITWISE_OP     
Token: p2                   Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "**pp1 = %d (now points to b)\n" Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: pp1                  Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: pp1                  Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: &                    Type: BITWISE_OP     
Token: p3                   Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "**pp1 = %d (now points to c)\n" Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: pp1                  Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\n"                 Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "Test 7: Array of pointers\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: val1                 Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 11                   Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: val2                 Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 22                   Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: val3                 Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 33                   Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: ptrArr               Type: IDENTIFIER     
Token: [                    Type: LBRACKET       
Token: 3                    Type: INTEGER_CONSTANT
Token: ]                    Type: RBRACKET       
Token: ;                    Type: SEMICOLON      
Token: ptrArr               Type: IDENTIFIER     
Token: [                    Type: LBRACKET       
Token: 0                    Type: INTEGER_CONSTANT
Token: ]                    Type: RBRACKET       
Token: =                    Type: ASSIGN         
Token: &                    Type: BITWISE_OP     
Token: val1                 Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: ptrArr               Type: IDENTIFIER     
Token: [                    Type: LBRACKET       
Token: 1                    Type: INTEGER_CONSTANT
Token: ]                    Type: RBRACKET       
Token: =                    Type: ASSIGN         
Token: &                    Type: BITWISE_OP     
Token: val2                 Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: ptrArr               Type: IDENTIFIER     
Token: [                    Type: LBRACKET       
Token: 2                    Type: INTEGER_CONSTANT
Token: ]                    Type: RBRACKET       
Token: =                    Type: ASSIGN         
Token: &                    Type: BITWISE_OP     
Token: val3                 Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: pArr                 Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: ptrArr               Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "*pArr[0] = %d\n"    Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: pArr                 Type: IDENTIFIER     
Token: [                    Type: LBRACKET       
Token: 0                    Type: INTEGER_CONSTANT
Token: ]                    Type: RBRACKET       
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "*pArr[1] = %d\n"    Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: pArr                 Type: IDENTIFIER     
Token: [                    Type: LBRACKET       
Token: 1                    Type: INTEGER_CONSTANT
Token: ]                    Type: RBRACKET       
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "*pArr[2] = %d\n"    Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: pArr                 Type: IDENTIFIER     
Token: [                    Type: LBRACKET       
Token: 2                    Type: INTEGER_CONSTANT
Token: ]                    Type: RBRACKET       
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\n"                 Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "Test 8: Pointer reassignment\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: m                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
