C/C++ Syntax Analyzer with AST
==============================

Token: #include <stdio.h>   Type: PREPROCESSOR   
Token: #include <stdlib.h>  Type: PREPROCESSOR   
Token: #include <string.h>  Type: PREPROCESSOR   
Token: void                 Type: KEYWORD        
Token: testcase1            Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: int                  Type: KEYWORD        
Token: arr                  Type: IDENTIFIER     
Token: [                    Type: LBRACKET       
Token: ]                    Type: RBRACKET       
Token: =                    Type: ASSIGN         
Token: {                    Type: LBRACE         
Token: 10                   Type: INTEGER_CONSTANT
Token: ,                    Type: COMMA          
Token: 20                   Type: INTEGER_CONSTANT
Token: ,                    Type: COMMA          
Token: 30                   Type: INTEGER_CONSTANT
Token: ,                    Type: COMMA          
Token: 40                   Type: INTEGER_CONSTANT
Token: ,                    Type: COMMA          
Token: 50                   Type: INTEGER_CONSTANT
Token: }                    Type: RBRACE         
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: p                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: arr                  Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\nTESTCASE 1: Pointer Arithmetic\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "*(p+2) = %d\n"      Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: (                    Type: LPAREN         
Token: p                    Type: IDENTIFIER     
Token: +                    Type: ARITHMETIC_OP  
Token: 2                    Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: p                    Type: IDENTIFIER     
Token: ++                   Type: POSTFIX_OP     
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "*p after p++ = %d\n" Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: p                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: void                 Type: KEYWORD        
Token: testcase2            Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: int                  Type: KEYWORD        
Token: a                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 100                  Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: p                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: &                    Type: BITWISE_OP     
Token: a                    Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: pp                   Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: &                    Type: BITWISE_OP     
Token: p                    Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\nTESTCASE 2: Pointer to Pointer\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "a = %d\n"           Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: a                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "*p = %d\n"          Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: p                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "**pp = %d\n"        Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: pp                   Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: void                 Type: KEYWORD        
Token: testcase3            Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: char                 Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: names                Type: IDENTIFIER     
Token: [                    Type: LBRACKET       
Token: ]                    Type: RBRACKET       
Token: =                    Type: ASSIGN         
Token: {                    Type: LBRACE         
Token: "Alice"              Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: "Bob"                Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: "Charlie"            Type: STRING_LITERAL 
Token: }                    Type: RBRACE         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\nTESTCASE 3: Array of Pointers\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
