C/C++ Syntax Analyzer with AST
==============================

Token: #include <stdio.h>   Type: PREPROCESSOR   
Token: typedef              Type: KEYWORD        
Token: int                  Type: KEYWORD        
Token: INTEGER              Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Added typedef name: INTEGER
Token: typedef              Type: KEYWORD        
Token: int                  Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: IntPtr               Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Added typedef name: IntPtr
Token: struct               Type: KEYWORD        
Token: Point                Type: IDENTIFIER     
Token: {                    Type: LBRACE         
Token: int                  Type: KEYWORD        
Token: x                    Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: y                    Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: ;                    Type: SEMICOLON      
Token: typedef              Type: KEYWORD        
Token: struct               Type: KEYWORD        
Token: Point                Type: TYPEDEF_NAME   
Token: PointType            Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Added typedef name: PointType
Token: void                 Type: KEYWORD        
Token: testcase1            Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: INTEGER              Type: TYPEDEF_NAME   
Token: x                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 50                   Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\nTESTCASE 1: typedef primitive\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "x = %d\n"           Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: x                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: void                 Type: KEYWORD        
Token: testcase2            Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: int                  Type: KEYWORD        
Token: a                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 10                   Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: IntPtr               Type: TYPEDEF_NAME   
Token: p                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: &                    Type: BITWISE_OP     
Token: a                    Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\nTESTCASE 2: typedef pointer\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "*p = %d\n"          Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: p                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: void                 Type: KEYWORD        
Token: testcase3            Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: typedef              Type: KEYWORD        
Token: int                  Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: IntPtrPtr            Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Added typedef name: IntPtrPtr
Token: int                  Type: KEYWORD        
Token: x                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 99                   Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: p                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: &                    Type: BITWISE_OP     
Token: x                    Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: IntPtrPtr            Type: TYPEDEF_NAME   
Token: pp                   Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: &                    Type: BITWISE_OP     
Token: p                    Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\nTESTCASE 3: typedef pointer-to-pointer\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "**pp = %d\n"        Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: *                    Type: ARITHMETIC_OP  
Token: pp                   Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: void                 Type: KEYWORD        
Token: testcase4            Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: PointType            Type: TYPEDEF_NAME   
Token: pt                   Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: pt                   Type: IDENTIFIER     
Token: .                    Type: DOT            
Token: x                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 10                   Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: pt                   Type: IDENTIFIER     
Token: .                    Type: DOT            
Token: y                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 20                   Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\nTESTCASE 4: typedef struct\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "Point: (%d, %d)\n"  Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: pt                   Type: IDENTIFIER     
Token: .                    Type: DOT            
Token: x                    Type: IDENTIFIER     
Token: ,                    Type: COMMA          
Token: pt                   Type: IDENTIFIER     
Token: .                    Type: DOT            
Token: y                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: void                 Type: KEYWORD        
Token: testcase5            Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: typedef              Type: KEYWORD        
Token: enum                 Type: KEYWORD        
Token: {                    Type: LBRACE         
Token: RED                  Type: IDENTIFIER     
Token: ,                    Type: COMMA          
Token: GREEN                Type: IDENTIFIER     
Token: ,                    Type: COMMA          
Token: BLUE                 Type: IDENTIFIER     
Token: }                    Type: RBRACE         
Token: Color                Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Added typedef name: Color
Token: Color                Type: TYPEDEF_NAME   
Token: c                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: GREEN                Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\nTESTCASE 5: typedef with enum\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "Enum value = %d\n"  Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: c                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: void                 Type: KEYWORD        
Token: testcase6            Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: typedef              Type: KEYWORD        
